Major,Description,Keywords,Career Options,Related Majors
Anthropology,"Anthropology is the study of difference. It teaches us about what it means to be human from cross-cultural points of view. Broaden your perspective and rethink what is familiar abroad and strange at home. Learn to understand diverse ways of thinking and interacting. Explore varied modes of living across geographical space and historical deep time. Embrace your global citizenship from around the corner to around the globe, and from the past to the present for the future.The goal of anthropology is to advance our collective understanding of the human condition through anthropological research and to apply this understanding to solve human problems.","past, rethink, present, solve, teaches, problems, globe, diverse, broaden, strange, difference, explore, embrace, home, research, anthropology, varied, interacting, space, study, understand, geographical, modes, deep, advance, perspective, learn, apply, historical, points, corner, abroad, anthropological, view, thinking, collective, cultural, citizenship, time, ways, cross, condition, global, living, human, understanding, goal, familiar, means","Cultural development & resources management, Diversity officer, Education, Forensics, Government & policy, Language, Law, Health & medicine, International diplomacy, Media & communication, Museum work, Nonprofit work, Science & technology, Social justice","Art and Art History  - FAA, History - LAS, Psychology - LAS, Sociology - LAS"
Architectural Studies,"Architects conceptualize and construct physical structures like buildings. In this major, you’ll receive a foundation in 2- and 3-dimensional design. You will focus on both aesthetics and technology. This major will prepare you to be a creative thinker and create inventive solutions to social, political, economic, and environmental problems.","thinker, prepare, create, design, problems, major, economic, aesthetics, focus, dimensional, political, structures, receive, physical, social, environmental, architects, construct, solutions, buildings, technology, conceptualize, inventive, foundation, creative, like","Architecture, Contracting, Conservation, Drafting, Industrial design, Inspection, Interior design, Landscape architecture, Planning & surveying, Product design","Civil Engineering - ENG, Graphic Design - FAA, Landscape Architecture  - FAA, Urban Studies and Planning - FAA"
Art and Art History,"Illinois offers two distinct majors related to art history. Our Art and Art History program in FAA unites academic and studio training by offering a Bachelor of Fine Arts degree in a combined art history and studio/design course of study. You'll gain experience in making art along with studying its history. You'll also develop skills in visual analysis, critical thinking, and writing. Earning this degree will qualify you to pursue a range of careers, museum work, or graduate study in either art history or studio practice. A portfolio review is required for admission to the School of Art and Design.","degree, earning, history, design, studying, graduate, admission, offering, analysis, required, illinois, range, gain, museum, faa, visual, studio, study, offers, work, art, academic, bachelor, fine, practice, critical, review, distinct, unites, training, majors, course, thinking, writing, pursue, arts, combined, skills, portfolio, qualify, develop, experience, program, careers, school, related, making","Art history & criticism, Art investment, Art law, Curation, Gallery work, Government work, Lecturing, Library work, Museum work, Preservation & conservation, Teaching","Art Education (K-12) - FAA, History - LAS, History of Art - LAS, Studio Art (BA) - FAA, Studio Art (BFA) - FAA"
Art Education (K-12),"Art Education prepares teachers of art for kindergarten through grade 12 in schools. This major places emphasis on methods, materials, processes, and practice teaching in Illinois. Through this area of study, you’ll learn to embrace many roles, like artist, educator, and activist. Your coursework will cover a rigorous study of contemporary art and visual culture. You must submit a portfolio before the university accepts you into this program.","artist, education, activist, major, accepts, prepares, roles, submit, illinois, embrace, visual, coursework, teachers, study, art, processes, practice, learn, methods, cover, area, university, grade, culture, educator, rigorous, materials, teaching, emphasis, kindergarten, portfolio, like, contemporary, program, schools, places","Art education, Art therapy, Arts administration, Community arts, Consulting, Research","Elementary Education (Grades 1-6) - EDU, Middle Grades Education (Grades 5-8) - EDU"
Arts and Entertainment Technology,"Arts and Entertainment Technology is a concentration within Theatre. This concentration combines new technologies with traditional theatre practices. It focuses on craft, technique, and problem-solving skills. As an Arts and Entertainment Technology student, you'll develop your technical and design skills. This includes computer networking, app development, and program design and development. You'll also build relationships with professionals in the industry. You can apply directly into this concentration, but you must submit a portfolio before being accepted.","new, design, relationships, development, solving, computer, submit, industry, concentration, technologies, entertainment, apply, professionals, combines, technology, build, directly, networking, problem, arts, skills, focuses, technical, student, craft, portfolio, traditional, app, technique, develop, accepted, program, theatre, includes, practices","Lighting Programmers, Automation Programmers, Performance Riggers, Audio Technicians, Master Electrician","Computer Science - ENG, Lighting Design and Technology  - FAA, Scenic Technology - FAA, Sound Design and Technology - FAA"
Asian American Studies,"In this major, you’ll gain training in the humanities. You will learn more about race, gender, sexuality, diversity, citizenship, and globalization. You’ll learn how to identify and consider theory issues and methods. You’ll also improve your understanding of Asian American history, experiences, and current issues. This will also help you in understanding race and diversity across the United States as a whole.","diversity, history, american, united, major, sexuality, gain, improve, globalization, states, theory, identify, learn, methods, race, humanities, training, gender, consider, citizenship, help, current, experiences, asian, understanding, issues","Human resources, Government, Law, Marketing, Medicine, Teaching, Social work","Anthropology - LAS, English - LAS, History - LAS, Sociology - LAS"
Art Undeclared,"If you’re interested in art and design but aren’t sure where to start, Art Undeclared is the option for you.  You’ll have the opportunity to explore different majors in our School of Art and Design, including art and art history, art education (K-12), graphic design, industrial design, and studio art. You'll take a variety of classes, including  drawing, 2D, 3D, and 4D art practices, and declare a major by March 1 of your first year of study.","history, education, design, classes, major, option, explore, including, drawing, studio, study, start, art, sure, graphic, interested, undeclared, opportunity, declare, majors, march, variety, industrial, year, school, different, practices",No career options listed.,
ACES Undeclared,"If you’re interested in the agricultural, consumer, and environmental sciences but aren’t sure which path you want to take, this program is for you. You’ll work with staff to select the right coursework based on your interests. You can explore various majors within the College of ACES with the purpose of later declaring one.","purpose, explore, consumer, later, coursework, agricultural, work, right, sure, environmental, sciences, based, interested, interests, majors, college, want, staff, path, declaring, select, program, aces",No career options listed.,Undeclared - DES
Asian American Studies,"In this major, you’ll gain training in the humanities. You will learn more about race, gender, sexuality, diversity, citizenship, and globalization. You’ll learn how to identify and consider theory issues and methods. You’ll also improve your understanding of Asian American history, experiences, and current issues. This will also help you in understanding race and diversity across the United States as a whole.","diversity, history, american, united, major, sexuality, gain, improve, globalization, states, theory, identify, learn, methods, race, humanities, training, gender, consider, citizenship, help, current, experiences, asian, understanding, issues","Human resources, Government, Law, Marketing, Medicine, Teaching, Social work","Anthropology - LAS, English - LAS, History - LAS, Sociology - LAS"
Astronomy,"Astronomy is the study of physics, chemistry, and the evolution of the universe. In this major, you’ll study stars, planets, moons, comets, nebulae and galaxies. You'll determine the positions and motions of these phenomena. You’ll gain analytical skills and learn to draw conclusions from data. You’ll also learn how to apply physics concepts to understanding the universe. Our department also provides many opportunities for involvement in faculty research projects.","conclusions, comets, draw, stars, moons, major, projects, gain, evolution, opportunities, involvement, research, astronomy, physics, faculty, study, analytical, learn, apply, motions, universe, positions, department, data, skills, nebulae, planets, galaxies, chemistry, provides, phenomena, concepts, determine, understanding","Aerospace, Government research, Higher education, Laboratory science, Observatory science, Planetarium work, Museum work","Aerospace Engineering - ENG, Computer Science and Astronomy - LAS, Mathematics - LAS"
Astrophysics,"Modern astronomy is astrophysics. It is the study of how the universe works by applying the methods and principles of physics. Astrophysicists study some of the biggest questions known today, from stars and planets to black holes and dark energy. Leveraging the strengths of our astronomy and physics departments, this program offers you one of the most flexible astrophysics options in the country. We'll provide you with the rigorous preparation necessary for graduate study in astronomy and astrophysics. We'll also prepare you for employment in technical or scientific fields.","black, prepare, stars, modern, graduate, astrophysicists, works, leveraging, applying, flexible, biggest, departments, astronomy, physics, study, today, preparation, dark, offers, principles, astrophysics, methods, universe, employment, necessary, rigorous, questions, strengths, scientific, technical, planets, energy, known, holes, fields, country, program, provide, options","Astronomer, Physicist, Consulting, Data analysis, Education, Scientific research","Astronomy - LAS, Astronomy + Data Science - LAS, Computer Science and Astronomy - LAS, Physics - ENG"
Astronomy + Data Science,"The field of astronomy is being transformed by the advent of large astronomical data sets. This degree incorporates a strong foundation in data science and astronomy. In this program, you'll learn how to work with modern large data sets using current computational and statistical methods. You'll also have a strong grounding in data curation and ethics. These skills are transferrable to the many careers that handle and communicate data across the knowledge economy. This includes jobs in agribusiness, computing, education, engineering, finance, government, insurance, marketing, medicine, supply chain, and more.","statistical, degree, supply, chain, education, field, finance, knowledge, modern, jobs, computational, government, ethics, advent, grounding, astronomy, sets, incorporates, work, astronomical, learn, methods, economy, agribusiness, communicate, science, engineering, large, handle, data, skills, insurance, medicine, strong, transformed, marketing, foundation, current, computing, program, careers, transferrable, includes, curation","Astronomy, Consulting, Data Analysis, Education, Programming, Scientific Research","Astronomy - LAS, Astrophysics - LAS, Computer Science and Astronomy - LAS, Information Sciences + Data Science - SIS, Statistics - LAS"
Astrophysics,"Modern astronomy is astrophysics. It is the study of how the universe works by applying the methods and principles of physics. Astrophysicists study some of the biggest questions known today, from stars and planets to black holes and dark energy. Leveraging the strengths of our astronomy and physics departments, this program offers you one of the most flexible astrophysics options in the country. We'll provide you with the rigorous preparation necessary for graduate study in astronomy and astrophysics. We'll also prepare you for employment in technical or scientific fields.","black, prepare, stars, modern, graduate, astrophysicists, works, leveraging, applying, flexible, biggest, departments, astronomy, physics, study, today, preparation, dark, offers, principles, astrophysics, methods, universe, employment, necessary, rigorous, questions, strengths, scientific, technical, planets, energy, known, holes, fields, country, program, provide, options","Astronomer, Physicist, Consulting, Data analysis, Education, Scientific research","Astronomy - LAS, Astronomy + Data Science - LAS, Computer Science and Astronomy - LAS, Physics - ENG"
Atmospheric Sciences,"Atmospheric Sciences is a major that focuses on the study of Earth’s atmosphere, weather, and climate. Your coursework will also include a firm foundation in mathematics, physics, and chemistry. You’ll learn how to solve complex problems, develop critical and analytical thinking skills, and be ready to apply these skills to the world. Our program adheres to the recommendation of the American Meteorological Society. In other words, we will prepare you with a degree that satisfies applications for employment and graduate programs.","satisfies, degree, weather, solve, prepare, american, problems, graduate, complex, major, firm, earth, include, world, physics, climate, coursework, mathematics, study, analytical, meteorological, atmospheric, learn, sciences, apply, critical, society, words, employment, ready, recommendation, thinking, skills, focuses, programs, foundation, chemistry, applications, develop, atmosphere, program, adheres","Forecasting, Government Research Science, Private Industry, Broadcast Meteorology, Higher Education","Chemistry - LAS, Civil Engineering - ENG, Earth, Society, and Environmental Sustainability - LAS, Mathematics - LAS"
History,"As a History major, you’ll learn the skills to understand the past, connect it to the present, and confront some of the greatest challenges of our time. Through your classes, you’ll master critical thinking, research, and writing skills. Your coursework will also include an original independent, historical research project. You’ll consider complex problems, analyze data, and offer new interpretations. This major also offers a Secondary Education option for the teaching of Social Studies in high schools.","offer, past, present, history, new, education, problems, classes, major, complex, project, option, studies, analyze, master, include, research, social, coursework, understand, offers, secondary, high, learn, historical, critical, thinking, writing, data, challenges, skills, consider, time, original, greatest, teaching, confront, schools, interpretations, connect, independent","Business, Education, Entertainment, Government, Health care, Law, Media, Museum work, Nonprofit work, Publishing, Technology","Anthropology - LAS, Art and Art History  - FAA, History of Art - LAS, Musicology - FAA, Sociology - LAS"
